dataset,backbone,attr,n,n_groups,dim,probe_f1,ci_lo,ci_hi,seed_mean,seed_std,perm_obs,perm_null,perm_p,cohens_d
CheXpert,resnet50,sex,2000,2,2048,0.8099694297555056,0.7971513272743282,0.8226131188711697,0.8113616850849974,0.002415969420794713,0.7820095544646444,0.5069983756211301,0.0,0.08676442503929138
CheXpert,resnet50,race,2000,4,2048,0.40310609313053425,0.381488699441623,0.4247234868194455,0.40400937233796064,0.0018613886460370932,0.5429711148274022,0.4675808143472814,0.0,
CheXpert,densenet121,sex,2000,2,1024,0.8468900600479848,0.8287919805046278,0.8643336595962595,0.8453610385638595,0.004757630168403377,0.7439894984805164,0.5032811254368141,0.0,0.13594089448451996
CheXpert,densenet121,race,2000,4,1024,0.479725845584919,0.45767988757912226,0.5027448753957782,0.475436768785882,0.005957197874615338,0.49399399399399396,0.4247207087326847,0.0,
CheXpert,vit_b_16,sex,2000,2,768,0.8189857888418614,0.8091591057006774,0.831115500323268,0.8230508559608924,0.0044658419083908945,0.7980315644986304,0.5004388220555885,0.0,0.10718124359846115
CheXpert,vit_b_16,race,2000,4,768,0.45471359099734265,0.4430731920847239,0.4666994480502077,0.445311819651305,0.010782278297390787,0.5139900379421337,0.4381969394544245,0.0,
CheXpert,vit_b_32,sex,2000,2,768,0.8474940453507678,0.8394507720339662,0.8553805545081182,0.8436413381212372,0.005723045573991987,0.8269766772760785,0.5045390300480121,0.0,0.1290113776922226
CheXpert,vit_b_32,race,2000,4,768,0.44775555405998013,0.42412691688141735,0.4682873443526394,0.43391091158579015,0.009710788999370083,0.5219770668872465,0.43805745865626106,0.0,
CheXpert,dinov2_base,sex,2000,2,768,0.8807968261348245,0.8681644359928364,0.89482507807612,0.8756115967155935,0.00503745461710834,0.8519867172561785,0.5091235546924169,0.0,0.13378112018108368
CheXpert,dinov2_base,race,2000,4,768,0.43772574760679805,0.4218469456538066,0.45360454955978946,0.44812371427162123,0.014677724793353433,0.5340010669351987,0.4366416116715517,0.0,
MIMIC,rad_dino,sex,1491,2,768,0.9899365827326898,0.9859177070656564,0.9939554583997232,0.9911417206238875,0.0008898025723106731,0.988994983006959,0.4983591975208742,0.0,0.1457529067993164
MIMIC,rad_dino,race,1491,4,768,0.4108182173155475,0.3857370089758526,0.435000341972437,0.4118508966760525,0.014437205020781668,0.7029934125742509,0.5742226058393723,0.0,
MIMIC,vit16_cls,sex,1491,2,768,0.8670496108436027,0.8609630753312594,0.8730201799867828,0.8660938221020686,0.0038978893691742184,0.8470266673859488,0.4940243237249225,0.0,0.13746969401836395
MIMIC,vit16_cls,race,1491,4,768,0.3895256543328621,0.36903504973702794,0.4081429443656754,0.3540648986201409,0.02483577513699796,0.6409942877008746,0.553605341868815,0.0,
MIMIC,medsiglip,sex,1491,2,1152,0.96576138684217,0.9583596916868415,0.9718214782093872,0.966037386844292,0.0006840061358965551,0.9699909490328652,0.5013827000653348,0.0,0.30224350094795227
MIMIC,medsiglip,race,1491,4,1152,0.3678107923418512,0.33342009163551856,0.3991091662329841,0.3733253976243631,0.00808706582955637,0.6919853985722249,0.6464827102551653,0.0,
MIMIC,vit32_cls,sex,1491,2,768,0.5017372333324073,0.4894095293080093,0.5156906270894476,0.5025008728788404,0.006019966158413245,0.5050139960319601,0.49793673913434394,0.36,0.03810777887701988
MIMIC,vit32_cls,race,1491,4,768,0.24745347962679637,0.2376002532657479,0.2541950644099672,0.24833321988955737,0.003536989911194567,0.5510150869432305,0.5560152367936798,0.6,
