difficulty,effect_size,condition,seed,flagged,ground_truth,tp,fp,fn,tn
clean,0.0,indicator_count,42,0,0,0,0,0,1
clean,0.0,majority_vote,42,0,0,0,0,0,1
clean,0.0,weighted_risk,42,0,0,0,0,0,1
clean,0.0,multi_attribute,42,0,0,0,0,0,1
clean,0.0,meta_classifier,42,0,0,0,0,0,1
clean,0.0,indicator_count,1042,0,0,0,0,0,1
clean,0.0,majority_vote,1042,0,0,0,0,0,1
clean,0.0,weighted_risk,1042,0,0,0,0,0,1
clean,0.0,multi_attribute,1042,0,0,0,0,0,1
clean,0.0,meta_classifier,1042,0,0,0,0,0,1
clean,0.0,indicator_count,2042,0,0,0,0,0,1
clean,0.0,majority_vote,2042,0,0,0,0,0,1
clean,0.0,weighted_risk,2042,0,0,0,0,0,1
clean,0.0,multi_attribute,2042,0,0,0,0,0,1
clean,0.0,meta_classifier,2042,0,0,0,0,0,1
clean,0.0,indicator_count,3042,1,0,0,1,0,0
clean,0.0,majority_vote,3042,1,0,0,1,0,0
clean,0.0,weighted_risk,3042,1,0,0,1,0,0
clean,0.0,multi_attribute,3042,1,0,0,1,0,0
clean,0.0,meta_classifier,3042,1,0,0,1,0,0
clean,0.0,indicator_count,4042,1,0,0,1,0,0
clean,0.0,majority_vote,4042,1,0,0,1,0,0
clean,0.0,weighted_risk,4042,1,0,0,1,0,0
clean,0.0,multi_attribute,4042,1,0,0,1,0,0
clean,0.0,meta_classifier,4042,1,0,0,1,0,0
weak,0.2,indicator_count,42,1,1,1,0,0,0
weak,0.2,majority_vote,42,1,1,1,0,0,0
weak,0.2,weighted_risk,42,1,1,1,0,0,0
weak,0.2,multi_attribute,42,1,1,1,0,0,0
weak,0.2,meta_classifier,42,1,1,1,0,0,0
weak,0.2,indicator_count,1042,1,1,1,0,0,0
weak,0.2,majority_vote,1042,1,1,1,0,0,0
weak,0.2,weighted_risk,1042,1,1,1,0,0,0
weak,0.2,multi_attribute,1042,1,1,1,0,0,0
weak,0.2,meta_classifier,1042,1,1,1,0,0,0
weak,0.2,indicator_count,2042,1,1,1,0,0,0
weak,0.2,majority_vote,2042,1,1,1,0,0,0
weak,0.2,weighted_risk,2042,1,1,1,0,0,0
weak,0.2,multi_attribute,2042,1,1,1,0,0,0
weak,0.2,meta_classifier,2042,1,1,1,0,0,0
weak,0.2,indicator_count,3042,1,1,1,0,0,0
weak,0.2,majority_vote,3042,1,1,1,0,0,0
weak,0.2,weighted_risk,3042,1,1,1,0,0,0
weak,0.2,multi_attribute,3042,1,1,1,0,0,0
weak,0.2,meta_classifier,3042,1,1,1,0,0,0
weak,0.2,indicator_count,4042,1,1,1,0,0,0
weak,0.2,majority_vote,4042,1,1,1,0,0,0
weak,0.2,weighted_risk,4042,1,1,1,0,0,0
weak,0.2,multi_attribute,4042,1,1,1,0,0,0
weak,0.2,meta_classifier,4042,1,1,1,0,0,0
moderate,0.5,indicator_count,42,1,1,1,0,0,0
moderate,0.5,majority_vote,42,1,1,1,0,0,0
moderate,0.5,weighted_risk,42,1,1,1,0,0,0
moderate,0.5,multi_attribute,42,1,1,1,0,0,0
moderate,0.5,meta_classifier,42,1,1,1,0,0,0
moderate,0.5,indicator_count,1042,1,1,1,0,0,0
moderate,0.5,majority_vote,1042,1,1,1,0,0,0
moderate,0.5,weighted_risk,1042,1,1,1,0,0,0
moderate,0.5,multi_attribute,1042,1,1,1,0,0,0
moderate,0.5,meta_classifier,1042,1,1,1,0,0,0
moderate,0.5,indicator_count,2042,1,1,1,0,0,0
moderate,0.5,majority_vote,2042,1,1,1,0,0,0
moderate,0.5,weighted_risk,2042,1,1,1,0,0,0
moderate,0.5,multi_attribute,2042,1,1,1,0,0,0
moderate,0.5,meta_classifier,2042,1,1,1,0,0,0
moderate,0.5,indicator_count,3042,1,1,1,0,0,0
moderate,0.5,majority_vote,3042,1,1,1,0,0,0
moderate,0.5,weighted_risk,3042,1,1,1,0,0,0
moderate,0.5,multi_attribute,3042,1,1,1,0,0,0
moderate,0.5,meta_classifier,3042,1,1,1,0,0,0
moderate,0.5,indicator_count,4042,1,1,1,0,0,0
moderate,0.5,majority_vote,4042,1,1,1,0,0,0
moderate,0.5,weighted_risk,4042,1,1,1,0,0,0
moderate,0.5,multi_attribute,4042,1,1,1,0,0,0
moderate,0.5,meta_classifier,4042,1,1,1,0,0,0
strong,1.0,indicator_count,42,1,1,1,0,0,0
strong,1.0,majority_vote,42,1,1,1,0,0,0
strong,1.0,weighted_risk,42,1,1,1,0,0,0
strong,1.0,multi_attribute,42,1,1,1,0,0,0
strong,1.0,meta_classifier,42,1,1,1,0,0,0
strong,1.0,indicator_count,1042,1,1,1,0,0,0
strong,1.0,majority_vote,1042,1,1,1,0,0,0
strong,1.0,weighted_risk,1042,1,1,1,0,0,0
strong,1.0,multi_attribute,1042,1,1,1,0,0,0
strong,1.0,meta_classifier,1042,1,1,1,0,0,0
strong,1.0,indicator_count,2042,1,1,1,0,0,0
strong,1.0,majority_vote,2042,1,1,1,0,0,0
strong,1.0,weighted_risk,2042,1,1,1,0,0,0
strong,1.0,multi_attribute,2042,1,1,1,0,0,0
strong,1.0,meta_classifier,2042,1,1,1,0,0,0
strong,1.0,indicator_count,3042,1,1,1,0,0,0
strong,1.0,majority_vote,3042,1,1,1,0,0,0
strong,1.0,weighted_risk,3042,1,1,1,0,0,0
strong,1.0,multi_attribute,3042,1,1,1,0,0,0
strong,1.0,meta_classifier,3042,1,1,1,0,0,0
strong,1.0,indicator_count,4042,1,1,1,0,0,0
strong,1.0,majority_vote,4042,1,1,1,0,0,0
strong,1.0,weighted_risk,4042,1,1,1,0,0,0
strong,1.0,multi_attribute,4042,1,1,1,0,0,0
strong,1.0,meta_classifier,4042,1,1,1,0,0,0
